ACTIVIDAD ECONOMICA Y PRODUCTO,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020(p),Enero a Agosto 2021(p)
Combustibles,"1,6","5,8","6,6","48,1","38,5","28,2","30,7","27,5","36,4","47,3","65,2","95,8","195,7","313,7","343,5","268,8","324,3","139,7","186,6","227,6","392,4","511,5","584,1","200,8","84,6","51,7","72,1","21,5","10,5","20,1"
EXTRACCION  DE MINERALES,"274,6","193,9","185,1","243,9","237,4","279,2","243,1","227,5","260,1","189,3","199,9","229,2","297,7","350,5","793,6","1062,5","1520,8","1498,5",1861,2427,"2076,6","1974,4","2039,8","1740,5","1900,1","2391,7","2405,5","2106,3",1536,"1753,8"
Mineral de Zinc,"172,5","119,5","105,3","151,3","151,7",200,"157,8","154,3","170,6","118,9","112,1","124,2","151,7","200,8","548,4","696,5","740,8","689,6","892,5","946,5","739,4","762,4","987,3","868,8","987,9","1445,6",1527,"1339,2","820,4","877,9"
Mineral de Plata,"38,8","43,1",48,"57,4","52,2",48,"58,8","55,8","65,1","49,5","63,7","71,8","89,1","88,5","163,6","216,3","506,7","596,8","686,2","1088,1","987,9","842,7","703,7","568,3","625,3","578,5","523,5",502,"481,8","598,2"
Mineral de Plomo,"11,1","9,8",12,"12,5","11,8",11,"8,9","4,7","4,5","3,8","4,4","4,3","9,2","10,4","14,1","60,6",169,"138,1","156,8",241,"157,8","168,3","160,5","133,7","161,1","253,7","244,2","171,8","109,7","130,7"
Mineral de Estano,"20,5","8,8","7,8","8,2","12,6",11,"7,8","5,3","10,3","5,2","9,3","15,3","30,7","23,9",28,"39,4","55,3","31,5","60,6","68,5","56,8","36,4","20,2","16,4","7,6",2,"1,4","0,8","30,1","58,9"
Boratos,"3,2","3,6","3,1","1,6","1,5","3,1","3,9","3,1","4,6","3,7","3,7","5,9","8,3","6,7","4,9","8,4","10,5","13,9","16,4","27,3","29,4","40,3","37,3","36,6","36,1","40,8","42,1","43,8","51,4","44,2"
Wolfram,"5,8","1,6","2,4","4,8","3,5","2,7","2,4","1,4","1,9",4,"1,6","2,1","2,6","7,6","16,4",22,"22,8","17,8","21,3","19,9",22,"30,2","28,4","22,3","14,4",18,"28,1",17,"20,6","18,1"
Mineral de Cobre,"0,2","0,2","0,2","0,3","0,2","0,4",0,"0,1","0,2",0,"0,2","0,3","0,4","0,1","1,3","4,7","5,5","3,7","9,1","11,3","39,3","49,1",60,"46,6","29,4","31,6","16,1","8,2","7,1","9,7"
Mineral de Oro,20,"4,7",0,0,,,,0,"0,2",0,0,0,0,"0,1","0,2","0,5","0,6","0,3","1,1","7,2","26,1","24,1","23,4","22,4","27,4","7,5",5,"4,6","5,6","2,2"
Mineral de Antimonio,"1,4",1,"4,9","4,8","2,7","1,6","1,2","0,5","0,6","0,3","1,7","2,6","2,6","8,9","12,8","5,5","5,7","3,6","10,3","6,5","9,4","7,8","6,5","5,5","2,7","3,7","3,1","3,7","2,4","5,6"
Sulfato de Bario Natural,0,,"0,4",1,"0,4","0,4","0,2","0,5","0,2","0,6","0,1","0,1","0,3","0,8","0,5","0,8",1,"0,2","0,8","2,4","3,3","6,9","7,4","15,5",4,"5,4","8,7","5,2","0,9","1,2"
Piedras Preciosas y Semipreciosas Naturales,"0,2","0,8","0,4","0,4","0,2","0,4","0,3","0,6","0,6","0,7","1,5","1,3","1,4","1,9","1,7","1,9",1,1,"1,3","1,4","1,6",2,"1,3",1,"0,8","1,1","0,7","0,5","0,5","0,5"
